dataset_id,table_id
bosch,bosch_4_ios_20200903
bosch,jan19_bosch_tag_business_model
bosch,part_1_market
bosch,part_1_market20210527
bosch,part_2_report20191209
bosch,part_2_report20201231
bosch,part_2_tag_bm
bosch,part_2_tag_bm20210505
bosch,part_3_report20191209
bosch,part_3_report20201231
bosch,part_3_report20210527
bosch,part_4_gp_14_16_20200902
bosch,part_4_gp_14_16_20200903
bosch,part_4_gp_20200828
bosch,part_4_gp_20200902
bosch,part_4_gp_20200903
bosch,part_4_ios_14_16_20200902
bosch,part_4_ios_14_16_20200903
bosch,part_4_ios_20200828
bosch,part_4_ios_20200902
bosch,part_4_ios_20200903